file_name,agents_number,solve_time,solution
instancias/insta/inst_1_100.txt,100,0.54178475,100
instancias/insta/inst_1_1000.txt,1000,0.155364666,1000
instancias/insta/inst_1_200.txt,200,0.0027638750000000003,200
instancias/insta/inst_1_50.txt,50,0.000140041,50
instancias/insta/inst_1_500.txt,500,0.023353000000000002,500
instancias/insta/insta_2_10_100.txt,100,0.00143025,4972
instancias/insta/insta_2_10_1000.txt,1000,0.019059166000000002,50000
instancias/insta/insta_2_10_200.txt,200,0.0009772090000000002,9996
instancias/insta/insta_2_10_50.txt,50,0.00012575000000000002,2464
instancias/insta/insta_2_10_500.txt,500,0.051059916000000004,25000
instancias/insta/insta_2_1_100.txt,100,0.00028579200000000004,4979
instancias/insta/insta_2_1_1000.txt,1000,0.020186375000000003,50000
instancias/insta/insta_2_1_200.txt,200,0.0009025000000000001,9995
instancias/insta/insta_2_1_50.txt,50,8.816600000000001e-5,2448
instancias/insta/insta_2_1_500.txt,500,0.005224875,25000
instancias/insta/insta_2_2_100.txt,100,0.000273625,4973
instancias/insta/insta_2_2_1000.txt,1000,0.023559584,50000
instancias/insta/insta_2_2_200.txt,200,0.000914167,9995
instancias/insta/insta_2_2_50.txt,50,7.8167e-5,2454
instancias/insta/insta_2_2_500.txt,500,0.004506667000000001,25000
instancias/insta/insta_2_3_100.txt,100,0.000282375,4970
instancias/insta/insta_2_3_1000.txt,1000,0.01924825,50000
instancias/insta/insta_2_3_200.txt,200,0.002444791,9997
instancias/insta/insta_2_3_50.txt,50,9.725e-5,2459
instancias/insta/insta_2_3_500.txt,500,0.004757709000000001,25000
instancias/insta/insta_2_4_100.txt,100,0.000268792,4956
instancias/insta/insta_2_4_1000.txt,1000,0.021528625000000003,50000
instancias/insta/insta_2_4_200.txt,200,0.0008402090000000001,9994
instancias/insta/insta_2_4_50.txt,50,9.704100000000001e-5,2453
instancias/insta/insta_2_4_500.txt,500,0.004904959,25000
instancias/insta/insta_2_5_100.txt,100,0.000283916,4969
instancias/insta/insta_2_5_1000.txt,1000,0.019240417000000003,50000
instancias/insta/insta_2_5_200.txt,200,0.000966708,9994
instancias/insta/insta_2_5_50.txt,50,8.479200000000001e-5,2449
instancias/insta/insta_2_5_500.txt,500,0.005060834,25000
instancias/insta/insta_2_6_100.txt,100,0.000266375,4966
instancias/insta/insta_2_6_1000.txt,1000,0.019807250000000002,50000
instancias/insta/insta_2_6_200.txt,200,0.000988208,9995
instancias/insta/insta_2_6_50.txt,50,8.062500000000001e-5,2449
instancias/insta/insta_2_6_500.txt,500,0.005249333,25000
instancias/insta/insta_2_7_100.txt,100,0.000314459,4970
instancias/insta/insta_2_7_1000.txt,1000,0.019818291000000002,50000
instancias/insta/insta_2_7_200.txt,200,0.001071083,9993
instancias/insta/insta_2_7_50.txt,50,7.5208e-5,2459
instancias/insta/insta_2_7_500.txt,500,0.005184958,25000
instancias/insta/insta_2_8_100.txt,100,0.0003155,4974
instancias/insta/insta_2_8_1000.txt,1000,0.019900041,50000
instancias/insta/insta_2_8_200.txt,200,0.0008835410000000001,9994
instancias/insta/insta_2_8_50.txt,50,0.0001065,2449
instancias/insta/insta_2_8_500.txt,500,0.006864334000000001,25000
instancias/insta/insta_2_9_100.txt,100,0.000298292,4963
instancias/insta/insta_2_9_1000.txt,1000,0.019523542,50000
instancias/insta/insta_2_9_200.txt,200,0.00101175,9999
instancias/insta/insta_2_9_50.txt,50,9.3041e-5,2449
instancias/insta/insta_2_9_500.txt,500,0.004852792,25000
instancias/insta/insta_3_10_100.txt,100,0.000395792,49297
instancias/insta/insta_3_10_1000.txt,1000,0.024535333000000003,499630
instancias/insta/insta_3_10_200.txt,200,0.001075084,99310
instancias/insta/insta_3_10_50.txt,50,0.00014125000000000002,24261
instancias/insta/insta_3_10_500.txt,500,0.005346208000000001,249397
instancias/insta/insta_3_1_100.txt,100,0.00039195900000000005,49386
instancias/insta/insta_3_1_1000.txt,1000,0.022700916,499662
instancias/insta/insta_3_1_200.txt,200,0.0010963330000000001,99269
instancias/insta/insta_3_1_50.txt,50,0.000186875,24242
instancias/insta/insta_3_1_500.txt,500,0.0059775,249430
instancias/insta/insta_3_2_100.txt,100,0.00043329200000000005,49259
instancias/insta/insta_3_2_1000.txt,1000,0.02371525,499640
instancias/insta/insta_3_2_200.txt,200,0.001037416,99242
instancias/insta/insta_3_2_50.txt,50,0.000191375,24214
instancias/insta/insta_3_2_500.txt,500,0.006011417000000001,249436
instancias/insta/insta_3_3_100.txt,100,0.000522708,49237
instancias/insta/insta_3_3_1000.txt,1000,0.022464208000000003,499654
instancias/insta/insta_3_3_200.txt,200,0.001145125,99310
instancias/insta/insta_3_3_50.txt,50,0.0001365,24289
instancias/insta/insta_3_3_500.txt,500,0.004788292,249466
instancias/insta/insta_3_4_100.txt,100,0.00044833300000000003,49297
instancias/insta/insta_3_4_1000.txt,1000,0.022801542,499668
instancias/insta/insta_3_4_200.txt,200,0.001295125,99334
instancias/insta/insta_3_4_50.txt,50,0.00019358300000000002,24239
instancias/insta/insta_3_4_500.txt,500,0.005243834,249474
instancias/insta/insta_3_5_100.txt,100,0.00038537500000000003,49268
instancias/insta/insta_3_5_1000.txt,1000,0.022357584,499657
instancias/insta/insta_3_5_200.txt,200,0.00115875,99278
instancias/insta/insta_3_5_50.txt,50,0.000130125,24021
instancias/insta/insta_3_5_500.txt,500,0.005096167,249456
instancias/insta/insta_3_6_100.txt,100,0.000511375,49220
instancias/insta/insta_3_6_1000.txt,1000,0.023207166,499635
instancias/insta/insta_3_6_200.txt,200,0.0011473750000000002,99262
instancias/insta/insta_3_6_50.txt,50,0.00010462500000000001,24296
instancias/insta/insta_3_6_500.txt,500,0.007258167,249431
instancias/insta/insta_3_7_100.txt,100,0.000440333,49277
instancias/insta/insta_3_7_1000.txt,1000,0.024118792,499634
instancias/insta/insta_3_7_200.txt,200,0.001095333,99318
instancias/insta/insta_3_7_50.txt,50,0.000171167,24187
instancias/insta/insta_3_7_500.txt,500,0.0055115830000000005,249439
instancias/insta/insta_3_8_100.txt,100,0.000390917,49365
instancias/insta/insta_3_8_1000.txt,1000,0.02444875,499628
instancias/insta/insta_3_8_200.txt,200,0.001069125,99275
instancias/insta/insta_3_8_50.txt,50,0.00011020800000000001,24190
instancias/insta/insta_3_8_500.txt,500,0.005107708000000001,249498
instancias/insta/insta_3_9_100.txt,100,0.000306667,49218
instancias/insta/insta_3_9_1000.txt,1000,0.021638041,499663
instancias/insta/insta_3_9_200.txt,200,0.0011293750000000002,99270
instancias/insta/insta_3_9_50.txt,50,0.00014466700000000002,24248
instancias/insta/insta_3_9_500.txt,500,0.006009042,249468
