file_name,agents_number,tasks_number,solve_time,is_optimal_solution,solution,node_count,dual_objective,relative_gap
ip2/d201600.in,20,1600,180.09380197525024,false,-97852.0,29451.0,-97823.0,0.00029636594039978743
ip2/d401600.in,40,1600,180.10729479789734,false,-97227.0,9064.0,-97105.00000000006,0.0012547954786215948
ip2/d60900.in,60,900,180.17191410064697,false,-54706.0,13930.0,-54551.00000000006,0.0028333272401554086
ip2/d801600.in,80,1600,180.44553089141846,false,-97267.0,753.0,-97034.00000000004,0.0023954681443856224
ip2/e60900.in,60,900,180.13613986968994,false,-100213.0,15.0,-100139.0,0.0007384271501701377
ip2/e801600.in,80,1600,180.5070550441742,false,-176875.0,1.0,-176803.0,0.0004070671378091873
